kunde;cvr;;;;;
A/S Julius Nielsen & Søn;35413480;;;;;
Hotri Storkøkken A/S;33071396;;;;;
P. Olesen & Sønner A/S;14345140;;;;;
Zolo International Trading ApS;32305725;;;;;
KØLEGRUPPEN A/S;26076609;;;;;
Holbøll A/S;18296675;;;;;
JT3 klima A/S;27057489;;;;;
Danilift A/S;17611542;;;;;
CS Electric A/S;10112354;;;;;
Peter Meyer A/S;25474139;;;;;
Christoffersen og Knudsen A/S;14748105;;;;;
HLM Landmåling A/S;34736030;;;;;
Entreprenørfirmaet Langberg A/S;39900319;;;;;
Byens Tag og Facade A/S;31596939;;;;;
BAGGER LÅSE & ALARM A/S;27920004;;;;;
Vognsen & Co A/S;41978481;;;;;
Vestfyns El-anlæg A/S;84756512;;;;;
HME A/S;25099796;;;;;
Alux A/S;15693576;;;;;
COOL TRADE APS;28891806;;;;;
